,movie,year,director,watched,era,tagA,tagB,tagC,tagD,tagE,tagF,tagG,franchise,fansOf,actors,trailer,comment,rating
,V/H/S/99,2022,"Maggie Levin, Johannes Roberts, Flying Lotus, Tyler MacIntyre, Vanessa Winter, Joseph Winter",yes,ModernC,Anthology,Found,Zombie,Monster,,,,V/H/S,,"Steven Ogg, Ally Loannides, Joseph Winter, Jackson Kelly",TjOYlq71kvk?si=QNSkycwBNyExifPs,,
,X,2022,Ti West,yes,ModernC,Slasher,,,,,,,,,"Mia Goth, Jenna Ortega, Brittany Snow, Karen Gillian, Ki Cudi, Stephen Ure",Awg3cWuHfoc?si=cTCeVG3iFifNc0_b,,
,Don't Fuck In The Woods 2,2022,,watch,ModernC,,,,,,,,,,,,,
,Wolf Manor,2022,,watch,ModernC,,,,,,,,,,,,,
,Dark Glasses,2022,,no,ModernC,,,,,,,,,,,,,
,Monstrous,2022,,no,ModernC,,,,,,,,,,,,,
,Scare Package II: Rad Chad's Revenge,2022,,no,ModernC,Anthology,Meta,Comedy,,,,,,,,,,
,The Hunting,2022,,no,ModernC,Monster,Werewolf,,,,,,,,,,,
,Birth/Rebirth,2023,Laura Moss,yes,ModernC,Psychological,Mad Scientist,,,,,,,,"Marin Ireland, Judy Reyes",,,
,Brooklyn 45,2023,Ted Geoghegan,yes,ModernC,Ghost,Supernatural,Cult,Occult,,,,,,"Anne Ramsay, Kristina Klebe, Jeremy Holm, Larry Fessenden, Ezra Buzzington, Lucy Carapetyan, Ron E. Rains",3f5UBLdnKjc?si=6SFphnP4xcoNpaf9,,
,Bury The Bride,2023,Michael Cummings,yes,ModernC,Monster,Vampire,,,,,,,,"Krsy Fox, Scout Taylor-Compton, Dylan Rourke, Lyndsi LaRose, Chaz Bono, Cameron Cowperthwaite, Rachel Brunner, Katie Ryan, Adam Marcinowski",,,
,Cobweb,2023,Samuel Bodin,yes,ModernC,Mystery,Atmosphere,Monster,,,,,,,"Lizzy Caplan, Antony Starr, Cleopatra Coleman",hGY0icwlDGY?si=l4_13kyDCOJTDFGs,,
,Dark Harvest,2023,David Slade,yes,ModernC,Monster,Occult,,,,,,,,"Casey Likes, Emyri Crutchfield, Dustin Ceithamer",Pge4NmBzdkE?si=1iQ_k5gGyOAS8vz-,,
,Don't Look Away,2023,Michael Bafaro,yes,ModernC,Supernatural,Monster,,,,,,,,,,,
,Evil Dead Rise,2023,Lee Cronin,yes,ModernC,Demon,Gore,Deadites,,Gore,,,Evil Dead,"Evil Dead, Evil Dead 2, Evil Dead","Mirabai Pease, Richard Crouchley, Anna-Maree Thomas",smTK_AeAPHs?si=izm1_dutYnp19HMH,,
,Five Nights at Freddy's,2023,Emma Tammi,yes,ModernC,Killer Robot,Child Entertainment,,,,,,,"The Banana Splits Movie, Five Nights at Freddy's","Josh Hutcherson, Piper Rubio, Elizabeth Lail",0VH9WCFV6XQ?si=-5XzqQG8yVmqRovd,,
,Kids Vs Aliens,2023,Jason Eisener,yes,ModernC,Alien,Body,Kids,,,,,,Theres Something in The Barn,"Dominic Mariche, Phoebe Rex, Calem MacDonald",3F_feNb4oYQ?si=OcLmkKOafU6TPMAY,,
,Malum,2023,Anthony DiBlasi,yes,ModernC,Cult,Psychological,Occult,,,,,,,,,,
,Mary Had a Little Lamb,2023,Jason Arber,yes,ModernC,Slasher,Monster,,,,Public Doman,,,Winnie The Pooh Blood and Honey,"May KellyChristine, Ann Nyland, Gaston Alexander",YSsm_zLxe5o?si=-BrIYkdalfSEqGau,This sheep is pissed off.,
,Renfield,2023,Chris McKay,yes,ModernC,Monster,Comedy,Vampire,,,,,,"Dracula, Bram Stokers Dracula","Nicholas Hoult, Nicolas Cage, Awkwafina",6LmO6rmDW08?si=518FD3Yg8IEGuBiI,,
,Scream 6,2023,"Matt Bettinelli-Olpin, Tyler Gillett",yes,ModernC,Slasher,Meta,Ghostface,,,Duo,,Scream,Scream,"Courteney Cox, Melissa Barrera, Jenna Ortega",h74AXqw4Opc?si=DD5Qe0UqIlD3srxE,,
,Stopmotion,2023,Robert Morgan,yes,ModernC,Psychological,,,,,,,,,"Aisling Franciosi, Stella Gonet, Tom York",pCXX7EnoWkw?si=eiuseWCVNhixOY0a,A lady goes 100% into the world of stop animation to create the best film.,
,Suitable Flesh,2023,Joe Lynch,yes,ModernC,Psychological,Occult,Body,Lovecraftian,,,,,"The Void, From Beyond","Heather Graham, Judah Lewis, Bruce Davison",e52fRshVMRU?si=l_EhzR1XFJLTdj_g,A great body horror film.,
,Thanksgiving,2023,Eli Roth,yes,ModernC,Slasher,Holiday,Carver,,,,,,"Scream, My Bloody Valentine, Black Christmas","Patrick Dempsey, Ty Olsson, Gina Gershon",KbU50SdL8zA?si=k9hVRxZQEVsE8iIf,A modern slasher film that fails to portray real characters.,
,The Conference,2023,Patrik Eklund,yes,ModernC,Slasher,,,,,,,,,"Katia Winter, Adam Lundgren, Eva Melander, Maria Sid",,,
,The Exorcist: Believer,2023,David Gordon Green,yes,ModernC,Demon,Exorcism,Pazuzu,Possession,,,,Exorcist,"The Exorcist, The Pops Exorcist","Lafortune Joseph, Leslie Odom Jr, Gastner Legerme",PIxpPMyGcpU?si=YW4txoKCdnFfH7MP,A sequel to the entire franchise that sucks.,
,The Jester,2023,Colin Krawchuk,yes,ModernC,Slasher,Supernatural,Halloween,,,,,,"The Black Phone, Wishmaster","Michael Sheffield, Lelia Symington, Delaney White",2zaf7AeZzdE?si=AxeuFUwFl07yzzMY,A rip-off of Wishmaster and Black Phone combined.,
,The Last Voyage of the Demeter,2023,André Øvredal,yes,ModernC,Monster,Dracula,,,,,,,"Dracula, Horror of Dracula, Bram Stokers Dracula","Corey Hawkins, Aisling Franciosi, Liam Cunningham",6FgUUO9Ztd0?si=NQS8tKtkSz-Gn-T0,That one part of the book where Dracula kills an entire crew of a ship.,
,The Nun II,2023,Michael Chaves,yes,ModernC,Ghost,Possession,Demon,Creature,Valak,,,The Conjuring Universe,"The Nun, The Conjuring","Taissa Farmiga, Jonas Bloquet, Storm Reid",QF-oyCwaArU?si=QHPglnjz8racX6z7,The demon that appears as a nun seeks out a childrens school. It's dumb.,
,There's Something in the Barn,2023,Magnus Martens,yes,ModernC,Monster,Holiday,Christmas,,,,,,"Krampus, Gremlins","Martin Starr, Amrita Acharia, Kiran Shah",qmbKcSkd9q0?si=z3F6LBKjkGDc_HcX,A Christmas horror story that kind of falls flat.,
,Totally Killer,2023,Nahnatchka Khan,yes,ModernC,Stunt Slasher,Sweet 16 Killer,,,,,,,"Scream, It's a Wonderful Knife, Happy Death Day","Kiernan Shipka, Olivia Holt, Charlie Gillespie",vNm3VPPKEQI?si=tVRQi4hPH5HBSqyC,A gimmick slasher film that tries to make the 90s seem insanely racist.,
,V/H/S/85,2023,"David Bruckner, Scott Derrickson, Gigi Saul Guerrero, Natasha Kermani, Mike P. Nelson",yes,ModernC,Anthology,Found,Zombie,Dystopia,Dimensions,,,V/H/S,"V/H/S, Creepshow, Trick r' Treat","Alex Galick, Anna Sundberg, Chelsey Grant",Ke20dnbwZXs?si=DhziTYRHCasCAiyO,From the VHS series comes 85... a potential to be great but kind of dissapoints.,
,When Evil Lurks,2023,Demián Rugna,yes,ModernC,Demon,,,,,,,,The Exorcist,"Ezequiel Rodríguez, Demián Salomón, Silvina Sabater",YrTnV6gNzno?si=Bcnab-Bvuaaqqv2d,A great curse film that will keep you on edge.,
,Winnie the Pooh: Blood and Honey,2023,Rhys Frake-Waterfield,yes,ModernC,Slasher,Spoof,,,,Public Doman,,,,"Nikolai Leon. Maria Taylor, Natasha Rose Mills",W3E74j_xFtg?si=XDTg7KVTjoZt9Her,Winnie the Pooh and Piglet too... are coming after you.,
,Abruptio,2023,,watch,ModernC,,,,,,,,,,,,,
,Founders Day,2023,,watch,ModernC,Slasher,,,,,,,,,,,,
,The Bell Keeper,2023,Colton Tran,watch,ModernC,,,,,,,,,,,,,
,All Fun and Games,2023,,no,ModernC,,,,,,,,,,,,,
,Craving,2023,,no,ModernC,,,,,,,,,,,,,
,Dear David,2023,,no,ModernC,,,,,,,,,,,,,
,Deliver Us,2023,"Lee Roy Kunz, Cru Ennis",no,ModernC,Religious,Anti-Christ,,,,,,,,,,,
,Dream Scenario,2023,Kristoffer Borgli,no,ModernC,Psychological,,,,,,,,,,,,
,Elevator Game,2023,,no,ModernC,,,,,,,,,,,,,
,Hell House LLC Origins: The Carmichael Manor,2023,Stephen Cognetti,no,ModernC,Found,Documentary,Slasher,,,,,,,,,,
,Herd,2023,,no,ModernC,,,,,,,,,,,,,
,Infinity Pool,2023,Brandon Cronenberg,no,ModernC,,,,,,,,,,,,,
,Insidious: The Red Door,2023,Patrick Wilson,no,ModernC,Ghost,Demon,Lipstick-Face,Possession,Supernatural,,,Insidious,,,,,
,It Lives Inside,2023,,no,ModernC,,,,,,,,,,,,,
,It's A Wonderful Knife,2023,Tyler MacIntyre,no,ModernC,Stunt Slasher,Holiday,,,,,,,,,,,
,Nefarious,2023,"Chuck Konzelman, Cary Solomon",no,ModernC,Demon,Psychological,,,,,,,,,,,
,No One Will Save You,2023,Brian Duffield,no,ModernC,Alien,Abduction,,,,,,,,,,,
,Saw X,2023,Kevin Greutert,no,ModernC,Post Slasher,Torture,Jigsaw,Gore,,,,Saw,Cube,,,,
,The Boogeyman,2023,Rob Savage,no,ModernC,Creature,Supernatural,,,,,,,,,,,
,The Popes Exorcist,2023,Julius Avery,no,ModernC,Demon,Exorcism,,,,,,,,,,,
,The Ugly Stepsister,2023,,no,ModernC,,,,,,,,,,,,,
,Abigail,2024,"Matt Bettinelli-Olpin, Tyler Gillett",yes,ModernC,Vampire,,,,,,,,"Dracula, The Lost Boys, Vampires, 30 Days of Night","Melissa Barrera, Dan Stevens, Alisha Weir",xtAL2x58hns?si=igpZWzMOJNFzOwwr,A group of lousy crooks stuck in a mansion with a girl that happens to be a vampire. What could go wrong?,
,Afraid,2024,Chris Weitz,yes,ModernC,Robot,AI,,,,,,,,"John Cho, Katherine Waterston, Keith Carradine",LE5QzD_qtxs?si=_1lvv-3tT12dVGoz,,
,Arcadian,2024,Benjamin Brewer,yes,ModernC,Monster,Dystopia,,,,,,,A Quiet Place,"Nicolas Cage, Jaeden Martell, Maxwell Jenkins",RGLtN_2UrEw?si=jJRhSdEENVRUTx1v,If you like monster dystopian films then this one is for you. A great father son connection film.,
,Beetlejuice Beetlejuice,2024,Tim Burton,yes,ModernC,Macabre,Ghost,Beetlejuice,Fantasy,,,,,,"Michael Keaton, Winona Ryder, Catherine OHara, Jenna Ortega, Willem Dafoe",CoZqL9N6Rx4?si=OtbKemmVwn8AenyA,,
,Beezel,2024,Aaron Fradkin,yes,ModernC,Witch,Anthology,,,,,,,,"Bob Gallagher, LeJon Woods, Nicolas Robin",,,
,Carved,2024,Justin Harding,yes,ModernC,Monster,Halloween,,,,,,,,,HLu0FoIgGCs?si=bChSNOBJpwPFqeJd,,
,Consumed,2024,Mitchell Altieri,yes,ModernC,Monster,Woods,,,,,,,,,,,
,Daddy's Head,2024,Benjamin Barfoot,yes,ModernC,Monster,,,,,,,,,,,,
,Destroy All Neighbors,2024,Josh Forbes,yes,ModernC,Psychological,Comedy,,,,,,,,"Jonah Ray, Kiran Deol, Randee Heller",vBEnqnmQQPo?si=lRVKFMvIQioy0bBk,A funny story about a dude losing his mind and making the ultimate prog rock song.,
,Explorer From Another World,2024,Woody Edwards,yes,ModernC,Alien,Invasion,,,,,,,,,,,
,Hell Hole,2024,"Toby Poser, John Adams",yes,ModernC,Monster,,,,,,,,,,WRxBvUN3FDE?si=-XxyvAw6mfbjcXsp,,
,Imaginary,2024,Jeff Wadlow,yes,ModernC,Supernatural,Monster,Fantasy,,,,,,,"DeWanda Wise, Taegen Burns, Pyper Braun",8XoNfrgrAGM?si=xODURSXJF1hJLDil,A fantasy film about an imaginary friend that is a demon. Kind of dumb.,
,In A Violent Nature,2024,Chris Nash,yes,ModernC,Slasher,,,,,,,,"Friday The 13th, Halloween, Hatchet","Ry Barrett, Andrea Pavlovic, Cameron Love",WyXuRmXbS7U?si=hc2gmq0jyECr1Fxs,"For fans of the classic slasher, then this movie is just for you. Perspective from the slasher.",
,Late Night with the Devil,2024,"Cameron Cairnes, Colin Cairnes",yes,ModernC,Satan,Demons,Found,Mockumentary,Possession,Occult,,,"The Exorcist, The Last Exorcism, V/H/S","David Dastmalchian, Laura Gordon, Ian Bliss",Frvyaj1wtNA?si=aPZ5ChcVbfglJT_9,Late night shows have nothing on this Halloween special!,
,Lisa Frankenstein,2024,Zelda Williams,yes,ModernC,Zombie,Comedy,Macabre,,,,,,,,POOeA3zCuUY?si=pTIlnqLqyzyFFbVG,,
,Longlegs,2024,Oz Perkins,yes,ModernC,Crime,Thriller,Occult,Satan,,,,,,"Maika Monroe, Nicolas Cage, Blair Underwood",OG7wOTE8NhE?si=CdgXbVytOkWv-3xo,,
,Monster Island,2024,Mike Wiluan,yes,ModernC,Monster,Gillman,,,,,,,,"Dean Fujioka, Callum Woodhouse, Alan Maxson",,,
,Night Swim,2024,Bryce McGuire,yes,ModernC,Supernatural,Demon,Ghost,,,,,,,"Wyatt Russell, Kerry Condon, Amélie Hoeferle",pcSNqteCEtE?si=pOxFCL7KPjF2H2RY,,
,Nosferatu,2024,Robert Eggers,yes,ModernC,Monster,Vampire,Count Orlock,,,,,,,"Bill Skarsgård, Lily-Rose Depp, Willem Dafoe, Nicholas Hoult, Emma Corrin, Ralph Ineson, Aaron Taylor-Johnson, Simon McBurney",,,
,Oddity,2024,Damian McCarthy,yes,ModernC,Supernatural,Demon,,,,,,,,,,,
,Salem's Lot,2024,Gary Dauberman,yes,ModernC,Vampire,,,,,,,,,,QtVzKkv03ic?si=dlPRf214KgiSUyG9,,
,Smile 2,2024,Parker Finn,yes,ModernC,Psychological,Demon,Curse,,,,,,,"Naomi Scott, Ray Nicholson, Kyle Gallner, Lukas Gage",0HY6QFlBzUY?si=wDxId4XSNSC_JSLh,,
,Sting,2024,,yes,ModernC,Spider,Alien,,,,,,,,,,,
,The Hangman,2024,Bruce Wemple,yes,ModernC,Demon,Occult,Woods,,,,,,,,XwlrNlTCk90?si=IyGdgXefpd0m79Qj,,
,The Substance,2024,Coralie Fargeat,yes,ModernC,Body,,,,,,,,,,,,
,The Watchers,2024,Ishana Night Shyamalan,yes,ModernC,Creature,Fantasy,Folk,,,,,,,"Dakota Fanning, Georgina Campbell, Olwen Fouéré",dYo91Fq9tKY?si=tU42Qx7R84b6Bidf,,
,They Crawl Beneath,2024,Dale Fabrigar,yes,ModernC,Animal,Worms,,,,,,,,,,,
,V/H/S Beyond,2024,"Jordan Downey, Christian Long, Justin Long, Justin Martinez, Virat Pal, Kate Siegel, Jay Cheel",yes,ModernC,Anthology,Found,Zombie,Monster,Robot,Alien,,V/H/S,,,6qwiv_WfBXk?si=7GL8gLMKUbj68-ni,,
,Werewolves,2024,Steven C. Miller,yes,ModernC,Monster,Werewolf,Action,Dystopia,,,,,,,,,
,Y2K,2024,Kyle Mooney,yes,ModernC,Robot,AI,,,,,,,,,,,
,A Quiet Place Day One,2024,Michael Sarnoski,no,ModernC,Alien,Dystopia,,,,,,,,,,,
,Alien: Romulus,2024,Fede Álvarez,no,ModernC,Alien,Space,Xenomorph,Facehugger,Sci-fi,,,,,,,,
,Bagman,2024,Colm McCarthy,no,ModernC,,,,,,,,,,,,,
,Blind Waters,2024,,no,ModernC,Shark,Animal,,,,,,,,,,,
,Cuckoo,2024,Tilman Singer,no,ModernC,,,,,,,,,,,,,
,Dead Sea,2024,,no,ModernC,,,,,,,,,,,,,
,Dead Whisper,2024,,no,ModernC,,,,,,,,,,,,,
,Here After,2024,Robert Salerno,no,ModernC,,,,,,,,,,,,,
,Heretic,2024,"Scott Beck, Bryan Woods",no,ModernC,,,,,,,,,,,,,
,MaXXXine,2024,,no,ModernC,,,,,,,,,,,,,
,Never Let Go,2024,Alexandre Aja,no,ModernC,,,,,,,,,,,,,
,Rippy,2024,,no,ModernC,Animal,,,,,,,,,,,,
,Speak No Evil,2024,,no,ModernC,,,,,,,,,,,,,
,Starve Acre,2024,,no,ModernC,,,,,,,,,,,,,
,Tarot,2024,,no,ModernC,,,,,,,,,,,,,
,Terrifier 3,2024,Damien Leone,no,ModernC,Slasher,Demon,Clown,Art,,,,,,,,,
,The Abandon,2024,,no,ModernC,,,,,,,,,,,,,
,The Beast Within,2024,Alexander J. Farrell,no,ModernC,Werewolf,,,,,,,,,,,,
,The Exorcism,2024,,no,ModernC,,,,,,,,,,,,,
,The First Omen,2024,,no,ModernC,,,,,,,,,,,,,
,The Inheritance,2024,,no,ModernC,,,,,,,,,,,,,
,The Mouse Trap,2024,,no,ModernC,,,,,,,,,,,,,
,The Strangers: Chapter 1,2024,,no,ModernC,,,,,,,,,,,,,
,28 Years Later,2025,Danny Boyle,yes,ModernC,Zombie,Dystopia,,,,,,,,"Jodie Comer, Aaron Taylor-Johnson, Jack O'Connell, Alfie Williams, Ralph Fiennes",,,
,Ash,2025,,yes,ModernC,Alien,Psychological,,,,,,,,,,,
,Bring Her Back,2025,Danny and Michael Philippou,yes,ModernC,,,,,,,,,,"Billy Barratt, Sora Wong, Jonah Wren Phillips, Sally Hawkins",,,
,Clown in a Cornfield,2025,Eli Craig,yes,ModernC,Slasher,Clown,,,,,,,,"Katie Douglas, Aaron Abrams, Carson MacCormac, Kevin Durand, Will Sasso",,,
,Creatures Of The Night,2025,John Williams,yes,ModernC,Anthology,Occult,Aliens,,,,,,,"Andrew Readman, Michael Socha, Ricky Tomlinson",,,
,Death of a Unicorn,2025,Alex Scharfman,yes,ModernC,Monster,Unicorn,Fantasy,,,,,,,"Paul Rudd, Jenna Ortega, Will Poulter, Téa Leoni, Richard E. Grant",,,
,Five Nights at Freddy's 2,2025,Emma Tammi,yes,ModernC,Freddy,Robot,,,,,,,,,,,
,Heart Eyes,2025,Josh Ruben,yes,ModernC,Slasher,Valentines Day,Holiday,Duo,,,,,,"Olivia Holt, Mason Gooding, Gigi Zumbado, Michaela Watkins, Devon Sawa, Yoson An, Jordana Brewster",,,
,Hell of A Summer,2025,"Billy Bryk, Finn Wolfhard",yes,ModernC,Slasher,Camp,Duo,,,,,,,"Fred Hechinger, Abby Quinn, D'Pharaoh, Woon-A-Tai, Billy Bryk, Finn Wolfhard, Pardis Saremi, Rosebud Baker, Adam Pally",,,
,It Feeds,2025,Chad Archibald,yes,ModernC,Supernatural,Demon,,,,,,,,"Ashley Greene, Ellie O'Brien, Shawn Ashmore",,,
,M3GAN 2.0,2025,Gerard Johnstone,yes,ModernC,Robot,Megan,,,,,,m3gan,,"Allison Williams, Violet McGraw, Ivanna Sakhno, Jemaine Clement",,,
,Marshmallow,2025,Daniel DelPurgatorio,yes,ModernC,Supernatural,Slasher,,,,,,,,"Kue Lawrence, Kai Cech, Winston Vengapally, Giorgia Whigham, Max Malas, Maxwell Whittington-Cooper",,,
,Night of the Reaper,2025,Brandon Christensen,yes,ModernC,Slasher,,,,,,,,,,,,
,Popeye's Revenge,2025,William Stead,yes,ModernC,Slasher,Spoof,,,,Public Doman,,,,,,,
,The Conjuring 4: Last Rites,2025,Michael Chaves,yes,ModernC,Ghost,Possession,Demon,,,,,The Conjuring Universe,,,,,
,The Monkey,2025,Oz Perkins,yes,ModernC,Toy,Curse,Supernatural,,,,,,,,,,
,Until Dawn,2025,David F. Sandberg,yes,ModernC,Supernatural,Slasher,Monster,Possession,Homage,Wendigo,,,,"Ella Rubin, Michael Cimino, Odessa A'zion, Ji-young Yoo, Belmont Cameli, Maia Mitchell, Peter Stormare",,,
,V/H/S Halloween,2025,"Bryan M. Ferguson, Casper Kelly, Micheline Pitt-Norman, R.H. Norman, Alex Ross Perry, Paco, Plaza, Anna Zlokovic",yes,ModernC,Anthology,Holiday,Halloween,,,,,,,,,,
,Weapons,2025,Zach Cregger,yes,ModernC,Supernatural,Witch,,,,,,,,"Josh Brolin, Julia Garner, Alden Ehrenreich, Austin Abrams ,Cary Christopher, Benedict Wong, Amy Madigan",,,
,Wolf Man,2025,Leigh Whannell,yes,ModernC,Monster,Werewolf,,,,,,,,"Julia Garner, Christopher Abbott",kAw4PH2IQgo?si=h2mQzX6p095tsFJt,,
,Bambi: The Reckoning,2025,Dan Allen,no,ModernC,,,,,,,,,,,,,
,Black Phone 2,2025,,yes,ModernC,,,,,,,,,,,,,
,Deathstalker,2025,,no,ModernC,,,,,,,,,,,,,
,Dracula,2025,,no,ModernC,,,,,,,,,,,,,
,Eye For An Eye,2025,,no,ModernC,,,,,,,,,,,,,
,Fear Street: Prom Queen,2025,,no,ModernC,,,,,,,,,,,,,
,Final Destinations: Bloodline,2025,,no,ModernC,Post Slasher,Supernatural,Death,,,,,Final Destination,,,,,
,Found Footage: The Making of the Patterson Project,2025,,no,ModernC,,,,,,,,,,,,,
,Good Boy,2025,,no,ModernC,,,,,,,,,,,,,
,Keeper,2025,Osgood Perkins,yes,ModernC,Ghost,Witch,Haunted House,,,,,,,"Tatiana Maslany, Rossif Sutherland, Birkett Turton",,,
,Opus,2025,,no,ModernC,,,,,,,,,,,,,
,Peter Pan's Neverland Nightmare,2025,,no,ModernC,,,,,,,,,,,,,
,Rosario,2025,,no,ModernC,,,,,,,,,,,,,
,Saw XI,2025,Kevin Greutert,no,ModernC,,,,,,,,,,,,,
,Scared Shitless,2025,,no,ModernC,,,,,,,,,,,,,
,Screamboat,2025,Steven LaMorte,no,ModernC,,,,,,,,,,,,,
,Shelby Oaks,2025,,no,ModernC,,,,,,,,,,,,,
,SISU: Road to Revenge,2025,,no,ModernC,,,,,,,,,,,,,
,Somnium,2025,,no,ModernC,,,,,,,,,,,,,
,The Bride,2025,Maggie Gyllenhaal,no,ModernC,,,,,,,,,,,,,
,The Gorge,2025,,no,ModernC,,,,,,,,,,,,,
,The Home,2025,,no,ModernC,,,,,,,,,,,,,
,The Strangers: Chapter 2,2025,,no,ModernC,,,,,,,,,,,,,
,Vicious,2025,,no,ModernC,,,,,,,,,,,,,
,What’s Wrong Wendy,2025,,no,ModernC,,,,,,,,,,,,,
,Woman in The Yard,2025,,no,ModernC,,,,,,,,,,,,,
,28 Years Later: The Bone Temple,2026,Danny Boyle,yes,ModernC,Zombie,Dystopia,Cult,,,,,,,,,,
,Ready or Not 2: Here I Come,2026,,yes,ModernC,Thriller,Cult,Gore,Hunt,,,,,,,,,
,Obsession,2026,Curry Barker,yes,ModernC,Supernatural,Body,,,,,,,,,,,
